timestamp,wpm,errors,session_duration,fatigue_score,fatigue_level,productivity_score
2026-06-06 20:54:03,37.9,3,609.7,56,Medium,76.7
2026-06-06 20:54:13,48.9,2,271.5,12,Low,100.0
2026-06-06 20:54:23,48.1,1,248.8,11,Low,100.0
2026-06-06 20:54:33,30.9,3,255.3,61,Medium,61.6
2026-06-06 20:54:43,42.5,4,781.8,53,Medium,82.5
2026-06-06 20:54:53,31.4,3,544.0,57,Medium,62.6
2026-06-06 20:55:03,44.0,5,480.1,53,Medium,81.0
2026-06-06 20:55:13,43.8,4,402.1,62,Medium,87.0
2026-06-06 20:55:23,67.4,2,107.9,34,Low,100.0
2026-06-06 20:55:33,43.6,3,416.6,51,Medium,85.5
2026-06-06 20:55:43,40.6,4,666.4,59,Medium,75.8
2026-06-06 20:55:53,58.7,0,30.8,11,Low,100.0
2026-06-06 20:56:03,65.0,2,283.9,15,Low,100.0
2026-06-06 20:56:13,37.3,5,179.1,46,Medium,65.8
2026-06-06 20:56:23,63.4,2,249.4,33,Low,100.0
2026-06-06 20:56:33,36.5,3,283.6,49,Medium,71.6
2026-06-06 20:56:43,30.5,5,193.7,58,Medium,53.0
2026-06-06 20:56:53,36.8,5,184.4,51,Medium,67.9
2026-06-06 20:57:03,65.5,1,206.6,33,Low,100.0
2026-06-06 20:57:13,30.5,5,872.5,56,Medium,52.0
2026-06-06 20:57:23,12.5,10,1268.0,79,High,0.0
2026-06-06 20:57:33,40.4,5,336.3,58,Medium,74.4
2026-06-06 20:57:43,71.9,0,197.8,15,Low,100.0
2026-06-06 20:57:53,44.4,3,155.8,63,Medium,90.6
2026-06-06 20:58:03,62.5,2,81.4,28,Low,100.0
2026-06-06 20:58:13,16.1,6,541.2,71,High,1.2
2026-06-06 20:58:23,12.9,9,729.8,88,High,0.0
2026-06-06 20:58:33,27.0,6,1316.0,90,High,31.7
2026-06-06 20:58:43,22.0,7,971.5,82,High,15.5
2026-06-06 20:58:53,73.6,2,154.0,25,Low,100.0
2026-06-06 20:59:03,43.6,5,625.0,51,Medium,79.2
2026-06-06 20:59:13,32.2,3,622.5,59,Medium,63.8
2026-06-06 20:59:23,28.5,7,1247.3,83,High,25.2
2026-06-06 20:59:33,22.2,8,1484.3,76,High,7.5
2026-06-06 20:59:43,14.3,10,1261.3,82,High,0.0
2026-06-06 20:59:53,26.5,10,378.4,88,High,15.5
2026-06-06 21:00:03,30.8,5,784.0,58,Medium,54.9
2026-06-06 21:00:13,24.6,9,507.7,83,High,11.5
2026-06-06 21:00:23,13.0,6,1430.9,87,High,0.0
2026-06-06 21:00:33,56.2,1,211.4,12,Low,100.0
2026-06-06 21:00:43,47.1,1,214.8,14,Low,100.0
2026-06-06 21:00:53,58.9,1,180.2,18,Low,100.0
2026-06-06 21:01:03,62.7,1,104.7,14,Low,100.0
2026-06-06 21:01:13,18.8,6,1064.1,81,High,13.8
2026-06-06 21:01:23,19.9,8,801.8,94,High,1.7
2026-06-06 21:01:33,51.0,2,205.0,34,Low,100.0
2026-06-06 21:01:43,40.8,4,422.8,47,Medium,79.0
2026-06-06 21:01:53,57.4,2,163.4,23,Low,100.0
2026-06-06 21:02:03,40.6,3,702.1,54,Medium,82.4
2026-06-06 21:02:13,29.1,11,1554.4,83,High,13.4
2026-06-06 21:02:23,51.8,2,287.5,27,Low,100.0
2026-06-06 21:02:33,72.8,1,40.4,29,Low,100.0
2026-06-06 21:02:43,37.3,3,857.5,55,Medium,74.0
2026-06-06 21:02:53,66.1,2,153.7,32,Low,100.0
2026-06-06 21:03:03,36.0,4,789.9,58,Medium,66.2
2026-06-06 21:03:13,28.4,6,521.4,79,High,33.7
2026-06-06 21:03:23,33.6,4,700.0,51,Medium,60.6
2026-06-06 21:03:33,43.8,3,385.1,57,Medium,87.5
2026-06-06 21:03:43,31.3,3,287.9,44,Medium,60.5
2026-06-06 21:03:53,22.7,8,852.0,74,High,12.5
2026-06-06 21:04:03,73.0,0,81.4,28,Low,100.0
2026-06-06 21:04:13,22.8,11,1791.9,89,High,0.0
2026-06-06 21:04:23,69.9,0,47.0,33,Low,100.0
2026-06-06 21:04:33,59.9,1,61.2,23,Low,100.0
2026-06-06 21:04:43,72.4,1,220.5,34,Low,100.0
2026-06-06 21:04:53,32.3,5,833.5,44,Medium,54.1
2026-06-06 21:05:03,27.8,9,682.4,75,High,20.8
2026-06-06 21:05:13,73.0,0,27.2,10,Low,100.0
2026-06-06 21:05:23,17.6,12,738.2,71,High,0.0
2026-06-06 21:05:33,70.5,1,83.6,13,Low,100.0
2026-06-06 21:05:43,71.1,0,201.9,17,Low,100.0
2026-06-06 21:05:53,15.1,9,495.8,71,High,0.0
2026-06-06 21:06:03,72.7,0,106.0,27,Low,100.0
2026-06-06 21:06:13,57.2,0,63.7,16,Low,100.0
2026-06-06 21:06:23,36.7,3,651.9,53,Medium,71.2
2026-06-06 21:06:33,34.9,4,722.9,58,Medium,66.2
2026-06-06 21:06:43,61.6,1,191.6,16,Low,100.0
2026-06-06 21:06:53,34.8,4,192.6,48,Medium,63.5
2026-06-06 21:07:03,39.5,3,158.0,51,Medium,79.9
2026-06-06 21:07:13,53.5,0,279.7,34,Low,100.0
2026-06-06 21:07:23,62.3,1,209.3,15,Low,100.0
2026-06-06 21:07:33,42.7,3,468.0,52,Medium,87.1
2026-06-06 21:07:43,24.4,12,490.8,80,High,0.0
2026-06-06 21:07:53,25.8,11,1318.8,93,High,9.2
2026-06-06 21:08:03,39.8,5,594.1,58,Medium,72.4
2026-06-06 21:08:13,37.3,5,798.8,49,Medium,66.2
2026-06-06 21:08:23,31.1,4,638.8,64,Medium,59.4
2026-06-06 21:08:33,32.0,5,702.5,61,Medium,56.1
2026-06-06 21:08:43,18.1,10,725.8,71,High,0.0
2026-06-06 21:08:53,59.5,0,118.1,29,Low,100.0
2026-06-06 21:09:03,32.2,3,885.7,53,Medium,64.7
2026-06-06 21:09:13,21.3,6,1432.1,87,High,16.5
2026-06-06 21:09:23,70.0,1,130.0,11,Low,100.0
2026-06-06 21:09:33,47.6,2,297.0,20,Low,100.0
2026-06-06 21:09:43,25.9,10,1519.3,77,High,10.2
2026-06-06 21:09:53,62.3,2,212.1,28,Low,100.0
2026-06-06 21:10:03,45.0,3,593.3,41,Medium,92.4
2026-06-06 21:10:13,54.3,1,214.9,24,Low,100.0
2026-06-06 21:10:23,37.0,4,818.6,41,Medium,71.4
2026-06-06 21:10:33,61.7,2,47.8,21,Low,100.0
2026-06-06 21:10:43,34.8,3,246.2,44,Medium,70.3
2026-06-06 21:10:53,74.5,1,32.2,17,Low,100.0
2026-06-06 21:11:03,14.3,11,1232.2,79,High,0.0
2026-06-06 21:11:13,42.3,4,440.9,47,Medium,82.0
2026-06-06 21:11:23,51.5,2,119.5,24,Low,100.0
2026-06-06 21:11:33,66.7,1,230.7,16,Low,100.0
2026-06-06 21:11:43,67.0,1,260.6,13,Low,100.0
2026-06-06 21:11:53,65.1,0,246.1,15,Low,100.0
2026-06-06 21:12:03,24.8,8,797.3,84,High,18.3
2026-06-06 21:12:13,66.7,0,100.7,21,Low,100.0
2026-06-06 21:12:23,32.3,5,490.4,40,Medium,57.1
2026-06-06 21:12:33,70.2,0,49.1,22,Low,100.0
2026-06-06 21:12:43,61.8,2,164.5,16,Low,100.0
2026-06-06 21:12:53,68.8,0,141.9,33,Low,100.0
2026-06-06 21:13:03,36.9,4,891.9,62,Medium,69.1
2026-06-06 21:13:13,43.3,5,431.2,62,Medium,81.5
2026-06-06 21:13:23,36.0,4,772.2,40,Medium,69.0
2026-06-06 21:13:33,29.5,11,1200.3,73,High,19.1
2026-06-06 21:13:43,50.5,1,212.9,28,Low,100.0
2026-06-06 21:13:53,27.3,7,513.9,72,High,24.4
2026-06-06 21:14:03,17.5,10,1791.6,79,High,0.0
2026-06-06 21:14:13,31.5,4,678.8,40,Medium,55.4
2026-06-06 21:14:23,22.7,8,569.8,82,High,13.5
2026-06-06 21:14:33,32.5,4,772.7,63,Medium,59.6
2026-06-06 21:14:43,57.5,1,22.4,14,Low,100.0
2026-06-06 21:14:53,72.3,1,66.9,32,Low,100.0
2026-06-06 21:15:03,34.9,4,628.0,53,Medium,64.1
2026-06-06 21:15:13,55.9,0,256.8,23,Low,100.0
2026-06-06 21:15:23,32.9,4,442.6,49,Medium,59.8
2026-06-06 21:15:33,44.2,3,798.9,50,Medium,91.5
2026-06-06 21:15:43,28.4,10,1238.7,71,High,20.2
2026-06-06 21:15:53,21.6,7,905.2,91,High,11.8
2026-06-06 21:16:03,19.1,11,839.9,92,High,0.0
2026-06-06 21:16:13,30.8,4,368.1,46,Medium,54.0
2026-06-06 21:16:23,73.9,1,232.3,26,Low,100.0
2026-06-06 21:16:33,15.4,6,698.2,90,High,3.3
2026-06-06 21:16:43,65.0,1,61.8,19,Low,100.0
2026-06-06 21:16:53,45.6,1,27.7,27,Low,100.0
2026-06-06 21:17:03,23.0,12,1504.7,92,High,0.0
2026-06-06 21:17:13,42.6,5,336.6,40,Medium,79.3
2026-06-06 21:17:23,20.0,12,1380.3,76,High,0.0
2026-06-06 21:17:33,29.2,12,752.3,87,High,12.4
2026-06-06 21:17:43,21.6,11,1454.2,78,High,0.0
2026-06-06 21:17:53,14.2,11,1763.9,87,High,0.0
2026-06-06 21:18:03,54.4,0,267.0,18,Low,100.0
2026-06-06 21:18:13,20.7,9,1530.9,76,High,3.3
2026-06-06 21:18:23,71.5,0,172.0,19,Low,100.0
2026-06-06 21:18:33,27.7,12,922.5,90,High,13.5
2026-06-06 21:18:43,45.6,2,184.4,13,Low,98.7
2026-06-06 21:18:53,74.8,2,48.2,32,Low,100.0
2026-06-06 21:19:57,3.12,8,349.7,75,High,0.0
2026-06-06 21:20:57,2.81,8,409.7,75,High,0.0
2026-06-06 21:21:57,3.55,9,469.7,75,High,0.0
2026-06-06 21:22:57,3.22,9,529.7,75,High,0.0
2026-06-06 21:23:57,3.52,9,589.7,75,High,0.0
2026-06-06 21:24:57,6.24,9,649.7,75,High,0.0
2026-06-06 21:27:57,4.92,9,829.7,75,High,0.0
2026-06-06 21:28:57,7.07,9,889.7,75,High,0.0
2026-06-06 21:30:57,6.74,9,1009.7,75,High,0.0
2026-06-06 21:31:57,7.21,14,1069.7,75,High,0.0
2026-06-06 21:32:57,7.13,15,1129.7,75,High,0.0
2026-06-06 21:33:57,6.95,15,1189.7,75,High,0.0
2026-06-06 21:38:57,6.04,15,1489.7,75,High,0.0
2026-06-06 21:39:57,5.82,15,1549.7,75,High,0.0
2026-06-06 21:40:57,5.61,15,1609.7,75,High,0.0
2026-06-06 21:41:57,6.16,15,1669.7,75,High,0.0
2026-06-06 21:42:57,6.22,19,1729.7,75,High,0.0
2026-06-06 21:43:57,6.02,19,1789.7,75,High,0.0
2026-06-06 21:48:57,5.18,19,2089.8,75,High,0.0
2026-06-06 21:49:57,5.05,19,2149.7,75,High,0.0
2026-06-06 21:50:57,5.33,23,2209.7,75,High,0.0
2026-06-06 21:51:38,5.24,23,2250.9,75,High,0.0
2026-06-06 21:51:49,5.22,23,2262.4,75,High,0.0
2026-06-06 21:52:32,5.13,23,2304.7,75,High,0.0
2026-06-06 21:52:42,5.12,23,2314.7,75,High,0.0
2026-06-06 21:53:57,4.97,23,2389.7,75,High,0.0
2026-06-06 21:54:57,4.91,26,2449.7,75,High,0.0
2026-06-06 21:55:57,0.0,0,5.5,75,High,0.0
2026-06-06 21:57:42,0.11,0,110.4,75,High,0.2
2026-06-06 21:57:52,0.3,0,120.5,75,High,0.7
2026-06-06 21:58:04,0.36,0,132.4,75,High,0.8
2026-06-06 21:58:14,0.42,0,142.5,75,High,0.9
2026-06-06 21:58:58,0.58,0,186.4,75,High,1.3
2026-06-06 21:59:08,1.04,0,196.4,75,High,2.3
2026-06-06 21:59:32,0.98,0,220.5,75,High,2.2
2026-06-06 21:59:54,1.78,0,242.4,75,High,3.9
2026-06-06 22:00:06,5.42,3,254.4,75,High,1.4
2026-06-06 22:00:16,7.08,4,264.4,75,High,1.6
2026-06-06 22:00:28,9.85,4,276.4,75,High,7.7
2026-06-06 22:00:40,13.27,15,288.4,75,High,10.0
2026-06-06 22:00:50,16.36,25,298.4,75,High,10.0
2026-06-06 22:01:00,19.06,25,308.4,75,High,10.0
2026-06-06 22:01:44,16.72,25,352.5,75,High,10.0
2026-06-06 22:01:54,16.29,25,362.5,75,High,10.0
2026-06-06 22:02:06,17.11,25,374.5,75,High,10.0
2026-06-06 22:03:45,0.0,0,21.2,75,High,0.0
2026-06-06 22:05:35,0.09,0,131.2,75,High,0.2
2026-06-06 22:05:47,0.5,0,143.3,75,High,1.1
2026-06-06 22:05:58,4.75,0,154.2,75,High,10.5
2026-06-06 22:06:09,4.5,0,165.2,75,High,9.9
2026-06-06 22:06:19,4.32,0,175.2,75,High,9.5
2026-06-06 22:07:17,3.55,0,233.2,75,High,7.8
2026-06-06 22:07:29,4.11,0,245.2,75,High,9.0
2026-06-06 22:07:41,5.23,2,257.2,75,High,4.5
2026-06-06 22:07:53,5.35,2,269.2,75,High,4.8
2026-06-06 22:08:05,5.38,2,281.2,75,High,4.8
2026-06-06 22:08:39,4.83,2,315.3,75,High,3.6
2026-06-06 22:09:29,4.21,2,365.2,75,High,2.3
2026-06-06 22:09:39,4.13,2,375.2,75,High,2.1
2026-06-06 22:09:51,5.92,2,387.2,75,High,6.0
2026-06-06 22:10:01,7.95,2,397.2,75,High,10.5
2026-06-06 22:11:53,0,0,0,75,High,100.0
2026-06-06 22:12:43,0.26,0,46.5,75,High,0.6
2026-06-06 22:12:53,6.36,0,56.6,75,High,14.0
2026-06-06 22:13:05,8.22,0,68.6,75,High,18.1
2026-06-06 22:13:55,5.16,0,118.5,75,High,11.4
2026-06-06 22:14:05,5.6,0,128.5,75,High,12.3
2026-06-06 22:14:33,4.68,0,156.5,75,High,10.3
2026-06-06 22:14:43,4.47,0,166.6,75,High,9.8
2026-06-06 22:14:55,6.92,0,178.5,75,High,15.2
2026-06-07 12:03:30,0.0,0,2.5,75,High,100.0
2026-06-07 12:03:51,0.52,0,23.1,75,High,1.1
2026-06-07 12:13:26,0.04,0,598.8,75,High,0.1
2026-06-07 12:13:58,0.06,0,630.7,75,High,0.1
2026-06-07 12:15:55,0.19,0,747.5,75,High,0.4
2026-06-07 12:19:22,0.16,0,954.1,75,High,0.4
2026-06-07 12:19:36,0.19,0,968.1,75,High,0.4
2026-06-07 12:19:48,1.19,5,980.0,75,High,0.0
2026-06-07 12:30:55,0.71,5,1647.5,75,High,0.0
2026-06-07 12:33:55,0.9,7,1827.5,75,High,0.0
2026-06-07 12:34:55,1.04,7,1866.6,75,High,0.0
2026-06-07 12:41:10,0.87,7,2241.1,75,High,0.0
2026-06-07 12:41:30,0.87,7,2261.1,75,High,0.0
2026-06-07 12:41:46,0.87,7,2277.1,75,High,0.0
2026-06-07 12:41:56,0.88,7,2287.1,75,High,0.0
2026-06-07 12:42:36,0.88,7,2327.1,75,High,0.0
2026-06-07 12:42:46,1.01,12,2337.2,75,High,0.0
2026-06-07 12:43:18,1.0,12,2369.1,75,High,0.0
2026-06-07 12:43:40,0.99,12,2391.1,75,High,0.0
2026-06-07 12:43:50,1.13,12,2401.1,75,High,0.0
2026-06-07 12:49:00,1.01,12,2711.1,75,High,0.0
2026-06-07 12:49:10,1.01,12,2721.2,75,High,0.0
2026-06-07 12:49:28,1.02,12,2739.1,75,High,0.0
2026-06-07 12:49:38,1.05,12,2749.1,75,High,0.0
2026-06-07 12:53:14,0.98,12,2965.2,75,High,0.0
2026-06-07 19:06:40,0.53,1,1957.9,75,High,0.0,1,0,HIGH,0.94,30.0
2026-06-07 19:07:50,0.55,1,2028.0,75,High,0.0,1,0,HIGH,0.94,30.0
2026-06-07 19:08:02,0.61,1,2040.0,75,High,0.0,1,0,HIGH,0.94,30.0
2026-06-07 19:08:13,0.7,1,2050.9,75,High,0.0,1,0,HIGH,0.92,30.0
2026-06-07 19:08:36,0.71,1,2074.2,75,High,0.0,1,0,HIGH,0.94,30.0
2026-06-07 19:08:46,0.89,2,2084.3,75,High,0.0,1,0,HIGH,0.99,30.0
2026-06-07 19:08:58,1.01,8,2096.1,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:09:08,1.11,8,2106.2,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:09:20,1.12,8,2117.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:09:32,1.12,8,2130.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:10:00,1.11,8,2158.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:10:22,1.11,10,2180.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:10:34,1.16,13,2192.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:10:44,1.2,20,2202.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:10:56,1.25,42,2214.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:11:08,1.51,42,2225.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:11:20,1.57,47,2238.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:11:32,1.73,49,2249.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:11:42,1.87,53,2260.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:11:54,1.99,54,2271.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:12:12,1.98,54,2290.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:12:24,2.13,54,2302.1,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:12:36,2.25,55,2314.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:12:46,2.38,55,2324.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:13:02,2.37,55,2340.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:13:12,2.47,91,2350.2,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:14:04,2.45,91,2402.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:14:14,2.53,91,2412.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:14:24,2.71,91,2422.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:14:36,2.82,91,2434.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:14:48,2.9,95,2445.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:15:00,3.05,95,2458.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:15:12,3.1,99,2469.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:15:26,3.09,99,2484.2,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:15:38,3.21,99,2496.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:15:50,3.27,150,2507.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:16:00,3.41,174,2517.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:16:12,3.56,175,2529.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:16:22,3.61,177,2540.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:16:34,3.63,180,2551.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:16:44,3.69,180,2561.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:17:02,3.68,180,2580.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:17:26,3.65,180,2604.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:17:38,3.75,180,2615.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:17:48,3.76,180,2626.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:18:24,3.72,180,2662.1,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:19:54,3.6,180,2752.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:23:30,3.34,180,2968.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:25:04,3.24,180,3061.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:25:14,3.3,180,3072.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:27:48,3.15,180,3226.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:27:58,3.17,180,3236.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:28:08,3.31,180,3246.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:28:20,3.34,180,3258.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:31:58,3.13,180,3476.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:33:08,3.08,180,3546.1,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:33:20,3.07,180,3558.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:34:46,3.01,180,3644.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:34:58,3.09,183,3656.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:35:10,3.12,185,3668.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:49:40,2.53,185,4538.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:50:56,2.49,185,4614.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:51:24,2.48,185,4642.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:52:12,2.45,185,4690.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:52:22,2.45,185,4700.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:52:32,2.45,185,4710.1,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 19:52:44,2.45,185,4721.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:03:46,2.15,185,5383.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:03:58,2.15,185,5395.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:04:08,2.14,185,5406.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:04:22,2.14,185,5420.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:04:36,2.14,185,5434.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:04:50,2.13,185,5448.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:05:02,2.19,186,5460.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:05:12,2.23,187,5470.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:05:24,2.25,192,5481.9,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:05:54,2.26,192,5512.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 20:06:06,2.26,192,5524.0,75,High,0.0,1,0,HIGH,1.0,30.0
2026-06-07 21:23:14,0,0,0,75,High,100.0,0,0,HIGH,0.97,100.0
2026-06-07 21:27:49,70.8,0,1.2,25,Low,90.0,15,2,LOW,0.97,84.0
2026-06-07 21:28:01,30.05,0,13.2,50,Medium,66.1,15,2,LOW,0.46,84.0
2026-06-07 21:28:41,7.67,0,53.2,75,High,16.9,19,2,HIGH,0.97,100.0
2026-06-07 21:28:51,6.65,0,63.2,75,High,14.6,19,2,HIGH,0.97,100.0
2026-06-07 21:29:05,5.6,0,77.2,75,High,12.3,19,2,HIGH,0.97,100.0
2026-06-07 21:29:17,5.25,0,89.2,75,High,11.6,19,2,HIGH,0.97,100.0
2026-06-07 21:29:28,4.8,0,99.9,75,High,10.6,19,2,HIGH,0.97,100.0
2026-06-07 21:30:45,2.78,0,177.2,75,High,6.1,19,2,HIGH,0.97,100.0
2026-06-07 21:30:55,3.33,0,187.2,75,High,7.3,19,2,HIGH,0.97,100.0
2026-06-07 21:39:01,0,0,0,75,High,100.0,0,0,HIGH,0.97,100.0
2026-06-07 21:39:53,0,0,0,75,High,100.0,0,0,HIGH,0.9,100.0
2026-06-07 21:40:43,0,0,0,75,High,100.0,0,0,HIGH,0.97,100.0
2026-06-07 21:41:15,0.41,0,29.0,75,High,0.9,0,0,HIGH,0.97,100.0
